city,country,latitude,longitude,max temperature,cloudiness (%),humidity (%),wind speed (mph),date
naihati,IN,22.9028,88.4169,90,20,62,15.59,1620484271
bayeux,BR,-7.125,-34.9322,82.4,75,78,8.05,1620484447
moroeni,RO,45.2167,25.4333,55.99,90,31,1.99,1620484448
kroderen,MK,41.4053,22.6653,66.42,7,53,13.38,1620484448
kuklis,BA,44.4531,19.0761,59,40,38,3.44,1620484448
petkovci,MX,20.8,-88.2167,87.49,11,51,5.46,1620484449
temozon,GB,57.4791,-4.224,46,75,87,8.05,1620484449
inverness,IE,52.6747,-6.2925,59,100,71,5.99,1620484449
gorey,US,33.7797,-116.4653,69.8,1,52,3.44,1620484223
cathedral city,RO,47.1167,22.7333,59,0,44,6.91,1620484450
valcau de jos,BE,50.7751,4.5372,63,75,63,16.11,1620484423
overijse,NZ,-41.3833,173.1167,63,100,89,1.99,1620484450
brightwater,MX,19.1,-98.8833,73.4,75,77,4.61,1620484450
juchitepec,RU,54.4586,64.8542,62.51,100,41,8.7,1620484451
zverinogolovskoye,PH,5.5549,120.9136,82.94,100,71,4.09,1620484451
laminusa,BR,-16.3578,-49.4961,77,0,61,9.22,1620484451
inhumas,IL,32.8105,35.2599,93.2,0,73,10.36,1620484452
kafar manda,RU,57.3726,46.4629,55.45,95,55,8.5,1620484452
tonkino,IT,45.9025,12.1772,69.01,100,37,3.53,1620484452
pieve di soligo,DE,48.65,13.6333,59,97,41,2.86,1620484453
hauzenberg,IN,26.17,91.5709,75.2,40,73,4.47,1620484453
sualkuchi,PE,-10.2411,-76.6456,47.66,86,69,6.64,1620484453
yanacancha,TM,42.0551,59.3788,75.2,90,38,9.22,1620484453
akdepe,FR,48.9258,2.4453,71.01,75,49,18.41,1620484454
drancy,RU,55.6117,39.5766,49.23,100,87,12.24,1620484454
kerva,US,33.7445,-118.387,61,40,88,9.48,1620484454
rancho palos verdes,ET,11.7361,41.0853,95.41,51,33,3.69,1620484455
dubti,JP,34.5667,135.55,64.99,75,94,12.66,1620484455
matsubara,CH,47.1167,8.75,70,73,52,5.01,1620484455
einsiedeln,RU,48.4219,42.2308,67.23,100,62,11.86,1620484456
chernyshkovskiy,UA,48.1395,38.9371,65.35,32,54,13.89,1620484456
heias,DE,52.4167,9.6,62.01,0,38,10.36,1620484456
krasnyy luch,IT,45.7753,12.8386,70,78,50,3,1620484457
garbsen,PH,11.5122,122.5533,78.75,98,85,1.41,1620484457
portogruaro,CN,44.382,125.1685,42.8,75,81,11.18,1620484457
lonoy,HU,47.0427,18.6436,63,57,39,5.82,1620484458
nongan,MG,-21.6667,45.1667,78.03,16,42,2.46,1620484458
sarosd,PH,11.5464,122.0849,81.14,85,81,7.18,1620484458
beroroha,UA,46.4775,30.7326,57.2,40,51,22.37,1620484275
bacalan,SE,58.3866,13.4384,51.01,96,61,8.99,1620484459
odessa,HN,15.0333,-88.65,69.8,75,94,3.42,1620484459
skara,RU,53.4284,33.923,50,75,93,11.18,1620484459
proteccion,PH,14.5833,121.2333,86,20,74,6.91,1620484459
rzhanitsa,CD,2.7858,24.73,70.21,100,99,2.57,1620484381
teresa,KE,0.0167,37.0728,61.12,100,93,4.81,1620484460
buta,GT,14.6478,-90.7928,66.2,20,82,13.8,1620484460
nanyuki,CD,2.7388,23.7833,74.23,100,85,3.49,1620484460
el tejar,DE,49.3806,8.3039,64.99,0,36,5.75,1620484461
aketi,DE,49.4686,8.1664,64.99,99,41,5.99,1620484461
bohl-iggelheim,US,41.0037,-80.347,46.99,90,65,9.22,1620484322
bad durkheim,RO,44.6225,25.4029,59,40,82,10.36,1620484507
new castle,SV,13.7811,-89.1186,80.6,20,83,2.3,1620484508
jugureni,NG,7.5946,6.2248,91.27,44,44,7.43,1620484508
tonacatepeque,IT,45.2256,12.2889,68,0,34,8.05,1620484508
ogaminana,GR,40.9333,24.3,75.2,20,53,14.97,1620484509
chioggia,BR,-16.9567,-51.8103,82.94,0,36,8.03,1620484509
kokkinokhoma,HU,47.3733,18.8458,63,45,38,7.34,1620484509
caiaponia,GT,15.3833,-91.7167,62.6,75,77,1.88,1620484509
tarnok,RU,44.0834,41.9763,66.09,96,73,4.52,1620484510
san gaspar ixchil,US,42.1275,-87.8289,50,75,57,4.61,1620484510
ust-dzheguta,CD,-7.5667,24.1833,81.14,36,61,1.34,1620484510
northbrook,DE,50.4531,9.6175,62.01,97,32,5.01,1620484511
kaniama,BR,-22.7856,-43.3117,69.8,90,88,5.75,1620484511
neuhof,AT,47.7333,16.4,62.01,40,33,8.05,1620484511
zaachila,IN,20.0667,79.6667,91.22,57,39,4.09,1620484512
duque de caxias,CN,38.0751,112.6595,69.8,0,32,15.66,1620484512
mattersburg,RU,44.9892,41.1234,70.2,97,71,5.79,1620484512
mul,BD,23.1753,90.2072,85.06,42,62,12.91,1620484513
huangzhai,ID,5.5577,95.3222,81.79,99,76,0.74,1620484513
armavir,US,33.9022,-118.0817,63,90,67,5.75,1620484220
madaripur,ES,43.3789,-2.9831,84.99,0,53,9.22,1620484513
banda aceh,GB,50.7236,-3.5275,57.99,75,94,23.02,1620484215
norwalk,CZ,48.8489,17.1324,62.01,97,37,1.99,1620484514
sopelana,LU,49.6769,6.1239,61,75,55,12.66,1620484514
exeter,UA,49.1489,34.1965,49.73,100,79,14.92,1620484515
hodonin,RU,54.8696,31.3861,45,100,68,15.41,1620484515
steinsel,BA,43.7886,18.1608,57.2,20,44,6.91,1620484515
kobelyaky,IN,24.1667,87.7833,90.48,5,41,2.66,1620484515
golynki,PE,-6.1167,-76.95,72.97,79,71,3.58,1620484516
pazaric,PH,16.455,120.5875,66.16,94,83,2.3,1620484516
rampur hat,BR,-31.5783,-53.3811,62.01,1,84,10,1620484516
jepelacio,BE,50.3693,5.022,63,75,63,19.57,1620484517
la trinidad,GB,51.4316,-0.5524,60.01,90,77,23.02,1620484517
pinheiro machado,BR,-29.6842,-53.8069,60.8,20,77,11.5,1620484430
assesse,GR,40.5883,22.3994,79,1,37,10.38,1620484517
egham,US,40.2962,-74.051,53.01,90,82,5.75,1620484518
santa maria,TH,17.4257,102.5669,87.8,20,58,5.75,1620484518
loutros,RO,45,25.2667,54.52,13,67,11.54,1620484518
eatontown,US,35.7327,-78.8503,66,20,58,6.91,1620484519
chiconautla,US,64.8378,-147.7164,39,1,93,3.44,1620484326
kut chap,NL,52.3667,4.6333,50,75,93,19.57,1620484519
tatarani,US,37.5741,-122.3794,55,20,71,3.44,1620484440
apex,GB,55.902,-3.644,44.01,75,93,8.05,1620484520
fairbanks,SK,48.7588,17.5687,61,0,35,5.75,1620484520
haarlem,NP,28.2333,83.9833,64.99,88,78,2.04,1620484338
hillsborough,IN,18.1,76.7667,93.81,45,29,4.07,1620484520
bathgate,IN,26.35,80.6833,91.4,20,52,4.61,1620484521
myjava,DE,50.3333,7.2167,55.4,100,54,16.11,1620484521
pokhara,UA,49.3251,28.0809,48.2,40,81,15.66,1620484567
nilanga,PH,6.005,124.6125,78.55,100,88,3.83,1620484567
bighapur,US,42.539,-71.0481,54,1,62,11.5,1620484568
mayen,CO,2.757,-76.6172,71.08,89,71,1.68,1620484569
lityn,AU,-37.8068,144.8916,57.99,90,94,3.44,1620484569
badtasan,PE,-6.9197,-76.3304,77,75,73,3.44,1620484569
asht,RO,45.3,22.2667,54.34,9,50,10.09,1620484570
lynnfield,IN,24.2667,80.75,93.6,65,24,2.86,1620484570
morales,PH,13.5444,123.1405,78.69,100,89,3.38,1620484570
seddon,RO,44.9667,26.0833,61,40,82,10.36,1620484571
picota,HN,15.7437,-87.1766,82.4,40,94,4.61,1620484571
bucosnita,BE,50.1957,4.5417,60.8,75,63,19.57,1620484572
maihar,IN,18.4,76.5833,93.11,96,30,2.84,1620484572
beberon,CN,31.8128,121.6561,77,0,79,7.23,1620484572
bucov,RO,45,26.0167,61,40,82,10.36,1620484572
esparta,IN,25.6667,94.1167,58.73,53,92,3.11,1620484573
philippeville,RU,52.4201,136.4853,31.69,100,97,13.8,1620484573
latur,ID,-7.6011,110.8186,73.96,39,82,6.13,1620484573
qidong,NL,52.374,4.8897,50,75,93,20.71,1620484288
blejoi,GB,53.4513,-2.0794,57.99,90,94,8.05,1620484574
kohima,DE,48.6311,8.0761,66.99,0,45,4.61,1620484574
imeni poliny osipenko,US,29.9427,-89.9634,81,1,47,10.36,1620484459
grogol,UA,50.8285,31.5044,48.2,75,61,11.18,1620484575
amsterdam,US,34.7334,-86.5667,61,90,67,3.44,1620484575
hyde,AM,40,45,77,6,22,5.75,1620484575
achern,RU,55.6719,38.0078,48.99,75,100,6.71,1620484575
chalmette,RO,44.2347,26.4658,59,40,72,12.66,1620484576
kobyzhcha,RO,45.6174,25.6943,57.99,8,31,1.99,1620484336
madison,CO,9.1433,-74.2238,86.45,98,61,2.21,1620484576
armenia,PH,10.7786,124.0122,82.4,75,78,9.22,1620484577
korenevo,MX,19.2883,-99.6672,55.4,20,67,3.44,1620484293
bagasara,RU,52.1338,42.0264,54.48,97,71,11.07,1620484577
budesti,US,41.8875,-88.3054,51.01,1,66,2.66,1620484577
sacele,KZ,43.0369,74.7114,75.2,40,41,8.95,1620484578
guamal,IN,11.65,78.1667,87.57,100,53,6.4,1620484453
tabunok,UA,51.863,33.4698,39.56,100,94,20.38,1620484578
toluca,ID,-7.5331,110.5958,80.6,20,83,5.75,1620484578
rzhaksa,US,42.6001,-73.9662,53.6,75,50,3.44,1620484579
